BlockNo,Area,Zip,Geom
416131,757521,"11693","(-73.81151002797215,40.586360362286605)"
300926,675,"11217","(-73.9780133074752,40.6844516335326)"
403986,66530,"","(-73.83585072737749,40.789307441740505)"
304034,70522,"11208","(-73.8825026196498,40.671909112721735)"
305550,119018,"11204","(-73.98225037789562,40.61482858118702)"
409168,133611,"11417","(-73.84100220538984,40.67923828199467)"
305765,172105,"11219","(-74.00857593796889,40.627813205677505)"
404509,272800,"11357","(-73.8160579442544,40.7968238238871)"
416313,81014,"11694","(-73.86406497410476,40.570144699543924)"
101875,131245,"10025","(-73.96831399706693,40.79941979265036)"
308061,139991,"11236","(-73.9050505705857,40.630964347942374)"
101408,170075,"10021","(-73.96144763900332,40.77140827927223)"
401823,4000,"11368","(-73.84306145877319,40.759386627402925)"
300234,144350,"11201","(-73.99636297898476,40.6972502588261)"
307316,141064,"11229","(-73.95982564759785,40.59954625505181)"
100041,64968,"10005","(-74.00808257986739,40.70668459895475)"
305716,140001,"11219","(-74.00434715031693,40.63186214379485)"
308306,139991,"11236","(-73.88576906671868,40.63782904328347)"
400653,254268,"11103","(-73.91365250964125,40.767567719261685)"
100445,125765,"10003","(-73.98846810628453,40.72538755063051)"
101275,162992,"10016, 10017","(-73.98002640987897,40.75184356938113)"
304027,80000,"11207","(-73.88848814709641,40.67102222955477)"
205498,61626,"10465","(-73.81172501386698,40.81871917570099)"
101053,160373,"10036","(-73.99332474663504,40.760008711014684)"
504331,71310,"10306","(-74.13188382956696,40.573093802325594)"
301974,106077,"11238, 11216","(-73.95555178226263,40.68601783075509)"
306276,140000,"11214","(-73.99112114945824,40.6062868425213)"
306179,139918,"11228","(-74.00203412428678,40.62030373501341)"
501972,169893,"10314","(-74.13259819717737,40.598453995402075)"
500506,220258,"10301, 10304","(-74.07784965673589,40.633187225096854)"
506249,767294,"10312","(-74.17971116468628,40.538248565282125)"
504335,119959,"10306","(-74.12342078631545,40.57123285436356)"
500021,219285,"10301","(-74.08071674841192,40.643951866597085)"
500319,8103467,"10301","(-74.11250944537547,40.61833139839589)"
205337,90097,"10461","(-73.82936550304238,40.8376298532153)"
307701,129746,"11229","(-73.94314178483954,40.61187276476358)"
506221,130685,"10312","(-74.17571527132698,40.54362727741022)"
101396,165607,"10065","(-73.96703478661101,40.76379277134528)"
306155,140001,"11228, 11219","(-74.00529417212005,40.62408914450234)"
413606,4000,"11422","(-73.72903428329067,40.660781630166916)"
503648,116655,"10306","(-74.1099226993133,40.571853512759226)"
101543,132817,"10028, 10075","(-73.95314903649934,40.77384394870056)"
402691,114675,"11378","(-73.90748640331913,40.72354397655937)"
305017,150492,"11210","(-73.93595128611958,40.63587354611352)"
305453,140195,"11219, 11204","(-73.98690209085022,40.631418582699155)"
300807,139440,"11220","(-74.01286805218047,40.64436452969326)"
412609,2500,"11412","(-73.75877818063198,40.692068448419874)"
101372,123188,"10022","(-73.9599165025015,40.757477270868584)"
404547,140000,"11357","(-73.80588965438531,40.79183219048325)"
101385,155421,"10021","(-73.96619272633147,40.7707995467059)"
505468,143766,"10308","(-74.15859241410976,40.552842218332515)"
303736,80000,"11207","(-73.89712568460979,40.67104377499208)"
204879,132541,"10466","(-73.84752000193467,40.889856824888255)"
301806,145400,"11221","(-73.94057898794767,40.688488506688216)"
503554,159896,"10306","(-74.10499606353396,40.584332606013035)"
504441,402643,"10306","(-74.14569253657537,40.57112637528854)"
501262,124540,"10303","(-74.16595147706074,40.628168132469014)"
416298,180393,"11694","(-73.85867378797235,40.57313364705671)"
402585,424154,"11378","(-73.91355980418749,40.72538266623056)"
205443,44027,"10465","(-73.81788969820555,40.8210387770808)"
306571,151864,"11230","(-73.96597609730787,40.61613445013335)"
302760,69607,"11211","(-73.94359527047162,40.71497096438099)"
100427,134342,"10002","(-73.9921052028007,40.7232075876508)"
411657,2406,"11420","(-73.8096236136788,40.68009640966279)"
303624,110049,"11212","(-73.90890776715044,40.656892572532726)"
305152,59547,"11226","(-73.95846036140694,40.64449371715262)"
101118,166510,"10023","(-73.98038525331839,40.772687266481356)"
503019,777156,"10305","(-74.07032110579516,40.606134752917335)"
404420,78928,"11357","(-73.83120601386213,40.79011529054057)"
205234,21900,"10475","(-73.83263012171776,40.880407661490466)"
410401,4000,"11412","(-73.76762326209648,40.69539346478142)"
101640,563180,"10029","(-73.94275034999526,40.796994562306416)"
100171,72980,"10013","(-74.00305934756399,40.71680902817863)"
305073,125847,"11218","(-73.9681693506697,40.64846968158408)"
305972,91274,"11209","(-74.02058840529489,40.625001851414495)"
204200,147626,"10461","(-73.85168529508134,40.85150471372075)"
409205,5500,"11418","(-73.83950478832581,40.69814354488818)"
504418,59868,"10306","(-74.13775696192481,40.5695805950655)"
505648,95453,"10312","(-74.17608460957267,40.55839980812012)"
101552,130901,"10128","(-73.94892668708958,40.779623678718664)"
300300,88966,"11201","(-73.9981267120783,40.6885970967658)"
306643,164991,"11223","(-73.98608965457217,40.60393187760766)"
305381,143902,"11204, 11218","(-73.98000222918232,40.63453371817823)"
411664,2375,"11420","(-73.81824325170871,40.67737354158874)"
500346,585796,"10314","(-74.12104140006322,40.61594408228139)"
416081,363836,"11692","(-73.7993269097144,40.59090712634699)"
303439,115026,"11207","(-73.90901412324806,40.68548341587581)"
305378,153917,"11218","(-73.96956845141297,40.640090980988106)"
302843,65000,"11222","(-73.93585788746964,40.72178802904675)"
405180,2000,"11355","(-73.82485601975614,40.757109789346416)"
204028,21515,"10462, 10460","(-73.86571723186213,40.84329221513469)"
303260,91040,"11237","(-73.9175545917685,40.70419916669065)"
505457,284379,"10308","(-74.15811653414752,40.55729295659003)"
308146,156245,"11236","(-73.90530556747552,40.64718873556302)"
301521,130391,"11233","(-73.91277098968985,40.68119209383447)"
501206,554831,"10303","(-74.15907419854112,40.63805787095909)"
304957,150004,"11203","(-73.93862889410084,40.64270231792758)"
507077,124667,"10309","(-74.21645474884588,40.54228700970781)"
203562,122807,"10473","(-73.85898290778246,40.81862595280271)"
100177,37287,"10013","(-74.00619591916559,40.7182695332188)"
408059,15600,"11363","(-73.75359244811611,40.77081492154121)"
301884,209826,"11205","(-73.95930675795793,40.69753080950826)"
100016,4790691,"10280, 10007, 10281, 10282, 10004","(-74.0164258664603,40.71219511156632)"
205355,56003,"10461","(-73.83034618474636,40.838514059422096)"
101415,122504,"10022, 10065","(-73.9647821660952,40.76201963208713)"
400303,30442,"11101","(-73.93585238398886,40.73626532325192)"
507084,104697,"10309","(-74.21889310256024,40.54698905972259)"
